, UT,year, MD, WV, NC, KS, OR, MA, WY, OK, DC, NH, IN, AZ, IA, WI, IL, TX, SC, CA, KY, ID, PA, DE, ME, MO, VT, NY, MN, LA, SD, AL, NV, MT, NM, VA, OH, MI, CO, ND, NE, AK, AR, GA, MS, HI, FL, NJ, WA, TN
0,4.8281,1979,9.7855,6.8158,10.7028,5.4875,4.2343,3.6748,9.1111,9.7165,27.439,2.3675,8.2963,8.9388,2.2391,3.3898,10.7124,16.6978,12.5512,13.0067,9.4982,5.4144,6.1717,5.6701,2.8259,11.1545,1.4199,11.8534,2.2906,16.9399,2.0319,13.16,17.5214,4.1985,12.4093,8.6011,8.0608,9.0573,5.8081,1.5221,4.1296,13.3005,9.0826,17.1356,,7.2131,12.2348,6.6012,4.7631,9.8174
1,4.8281,1979,9.7855,6.8158,10.7028,5.4875,4.2343,3.6748,9.1111,9.7165,27.439,2.3675,8.2963,8.9388,2.2391,3.3898,10.7124,16.6978,12.5512,13.0067,9.4982,5.4144,6.1717,5.6701,2.8259,11.1545,1.4199,11.8534,2.2906,16.9399,2.0319,13.16,17.5214,4.1985,12.4093,8.6011,8.0608,12.552,5.8081,1.5221,4.1296,13.3005,9.0826,17.1356,,7.2131,12.2348,6.6012,4.7631,9.8174
2,3.7704,1980,9.5177,7.1473,10.5927,6.9221,5.0565,4.0501,6.184,9.9625,31.4845,2.5024,8.881,10.2749,2.1666,2.9054,10.612,16.8809,11.3556,14.4947,8.8151,3.0732,6.8419,6.8933,2.8478,11.0991,2.1514,12.7266,2.61,15.7398,0.7265,13.1815,19.9922,3.9663,13.1226,8.6223,8.0897,10.1862,6.8788,1.2262,4.412,8.8608,9.1942,13.7571,,8.7076,14.4976,6.8645,5.47,10.7577
3,3.7704,1980,9.5177,7.1473,10.5927,6.9221,5.0565,4.0501,6.184,9.9625,31.4845,2.5024,8.881,10.2749,2.1666,2.9054,10.612,16.8809,11.3556,14.4947,8.8151,3.0732,6.8419,6.8933,2.8478,11.0991,2.1514,12.7266,2.61,15.7398,0.7265,13.1815,19.9922,3.9663,13.1226,8.6223,8.0897,14.5332,6.8788,1.2262,4.412,8.8608,9.1942,13.7571,,8.7076,14.4976,6.8645,5.47,10.7577
4,3.2982,1981,9.8803,6.0482,9.0909,6.3419,4.4201,3.6395,5.4878,9.0058,35.0629,2.8877,7.0984,8.1275,2.6234,3.3973,10.5194,16.5774,10.4232,13.0096,8.413,4.4838,6.1446,6.689,3.1802,10.4496,4.2718,12.311,2.0782,15.633,1.7518,11.8744,17.5148,3.4091,11.3791,8.5514,7.4146,9.3577,8.0661,2.2796,3.1091,14.5631,9.1107,17.2383,,4.8008,14.9715,7.3233,5.0569999999999995,9.718
5,3.4106,1982,10.129,5.2361,9.0547,5.7309,5.1339999999999995,3.7883,9.1633,10.8278,30.7448,2.2082,6.4888,8.2517,2.3064,3.1060000000000003,8.7788,16.1387,10.8648,11.2401,9.6809,2.487,5.7143,5.3156,2.1183,9.6748,2.3256,11.3993,2.2986,16.0018,2.7496,10.5757,13.6209,3.8702,11.6262,7.3757,6.2645,,5.977,0.7463,1.9546,18.4932,8.1624,12.6441,,3.1187,13.5273,6.4802,4.3581,9.7183
6,3.4589,1983,8.527000000000001,4.8855,8.0566,5.6495,4.0947,3.52,5.8366,7.55,29.374000000000002,1.9812,5.2199,7.1887,2.3408,2.7573,9.6814,14.2394,9.8346,10.482999999999999,9.8008,3.5389,4.9012,4.1254,2.0942,8.1087,3.6189999999999998,11.0828,1.6651,14.1731,2.1429,9.1942,12.7946,3.6719999999999997,8.8635,6.973,5.5835,,6.4352,2.0588,2.6299,13.7787,7.646,8.4264,,5.5718,11.2266,5.3428,4.9302,8.7513
7,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9032,,,,,
8,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0825,,,,,
9,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1088,,,,,
10,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4462,,,,,
11,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6934,,,,,
